Country,Year,Population,Code,Production,Consumption_Per_Capita,Total_Rice_Consumption,Partner,ExportTradeValue1000USD,ExportQuantity,ImportTradeValue1000USD,ImportQuantity,SelfSufficiencyRatio
World,2015,7441826877,OWID_WRL,734077100000,80.4,598322880.9108001,NA,NA,NA,NA,NA,NA
World,2016,7529066617,OWID_WRL,737424600000,79.33,597280854.72661,NA,NA,NA,NA,NA,NA
World,2017,7614748582,OWID_WRL,748899000000,80.19,610626688.7905799,NA,NA,NA,NA,NA,NA
World,2018,7697492379,OWID_WRL,763880200000,80.06,616261239.86274,NA,NA,NA,NA,NA,NA
World,2019,7778303912,OWID_WRL,755487940000,79.91,621564265.6079199,NA,NA,NA,NA,NA,NA
World,2020,7855075060,OWID_WRL,775114200000,81.96,643801951.9175999,NA,NA,NA,NA,NA,NA
World,2021,7920861888,OWID_WRL,790822500000,81.45,645154200.7775999,NA,NA,NA,NA,NA,NA
World,2022,7990399768,OWID_WRL,788933600000,80.91,646503245.22888,NA,NA,NA,NA,NA,NA
Cambodia,2015,15623251,KHM,9335000000,241.36,3770827.86136,World,28490533,46579900000,1099469,6760000000,18.990985639275028
Cambodia,2016,15852803,KHM,9952000000,240.36,3810379.7290800004,World,30588603,53075300000,967749,2700000000,16.496677292038598
Cambodia,2017,16073372,KHM,10518000000,243,3905829.396,World,34121696,42907900000,383725,475000000,19.863685036514962
Cambodia,2018,16274522,KHM,10892000000,252.53,4109805.04066,World,41074735,44054400000,1091226,1076410000,20.21904960442725
Cambodia,2019,16481304,KHM,10885700000,255.99,4219049.01096,World,42110760,55500000000,926082,2330000000,16.994116058367954
Cambodia,2020,16725474,KHM,10936000000,256.69,4293261.92106,World,47066475,65400000000,711413,1760000000,14.664235142673245
Cambodia,2021,16974305,KHM,12207000000,257.84,4376654.8012,World,42245253,63500000000,472747,1060000000,16.3529679692419
Cambodia,2022,17201724,KHM,11624000000,247.54,4258114.75896,World,41599540,64173500000,348268,786832000,15.496462449847801
Timor-Leste,2015,1205131,NA,NA,130,156667.03,NA,NA,NA,NA,NA,NA
