Country,TradeFlow,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Cambodia,Export,Rice,2023,World,81503448,178948000000000,Kg
Cambodia,Export,Rice,2023,Vietnam,34829854,112478000000000,Kg
Cambodia,Export,Rice,2023,China,12664890,19808700000000,Kg
Cambodia,Export,Rice,2023,France,6450820,9382580000000,Kg
Cambodia,Export,Rice,2023,Gabon,4266715,4545910000000,Kg
Cambodia,Export,Rice,2023,Malaysia,3860166,5378320000000,Kg
Cambodia,Export,Rice,2023,Netherlands,3020672,3976960000000,Kg
Cambodia,Export,Rice,2023,United Kingdom,1692132,2462320000000,Kg
Cambodia,Export,Rice,2023,Italy,1588545,2273890000000,Kg
Cambodia,Export,Rice,2023,"Hong Kong, China",1124406,1589610000000,Kg
Cambodia,Export,Rice,2023,Spain,1117035,167130000000,Kg
Cambodia,Export,Rice,2023,Germany,1050573,1374180000000,Kg
Cambodia,Export,Rice,2023,Indonesia,1002020,155750000000,Kg
Cambodia,Export,Rice,2023,Czech Republic,907406,1247420000000,Kg
Cambodia,Export,Rice,2023,Poland,831905,1304960000000,Kg
Cambodia,Export,Rice,2023,Singapore,672915,964913000000,Kg
Cambodia,Export,Rice,2023,Australia,626886,844669000000,Kg
Cambodia,Export,Rice,2023,Cote d'Ivoire,581927,772866000000,Kg
Cambodia,Export,Rice,2023,Portugal,547366,778856000000,Kg
Cambodia,Export,Rice,2023,Saudi Arabia,514787,74696000000,Kg
Cambodia,Export,Rice,2023,Brunei,512820,7329000000,Kg
Cambodia,Export,Rice,2023,Sweden,423122,561809000000,Kg
Cambodia,Export,Rice,2023,Belgium,397953,564046000000,Kg
Cambodia,Export,Rice,2023,New Zealand,372353,493366000000,Kg
Cambodia,Export,Rice,2023,United States,344759,309000000,Kg
Cambodia,Export,Rice,2023,Denmark,343323,372426000000,Kg
Cambodia,Export,Rice,2023,Finland,247575,273881000000,Kg
Cambodia,Export,Rice,2023,Lithuania,215858,36000000,Kg
Cambodia,Export,Rice,2023,Hungary,211180,339158000000,Kg
Cambodia,Export,Rice,2023,Greece,189120,322621000000,Kg
Cambodia,Export,Rice,2023,Philippines,161950,4425000000,Kg
Cambodia,Export,Rice,2023,Turkey,106725,1525000000,Kg
Cambodia,Export,Rice,2023,Malta,89255,107674000000,Kg
Cambodia,Export,Rice,2023,Canada,82367,991372,Kg
Cambodia,Export,Rice,2023,Croatia,68931,114364000000,Kg
Cambodia,Export,Rice,2023,Slovak Republic,46924,739472,Kg
Cambodia,Export,Rice,2023,Ireland,43595,608966,Kg
Cambodia,Export,Rice,2023,Senegal,42663,500020,Kg
Cambodia,Export,Rice,2023,Ghana,38107,456113,Kg
Cambodia,Export,Rice,2023,Austria,36446,456538,Kg
Cambodia,Export,Rice,2023,Romania,23468,330000,Kg
Cambodia,Export,Rice,2023,Cyprus,22839,365508,Kg
Cambodia,Export,Rice,2023,Russian Federation,21928,327000,Kg
Cambodia,Export,Rice,2023,Norway,18259,344000,Kg
Cambodia,Export,Rice,2023,Sierra Leone,12840,150000,Kg
Cambodia,Export,Rice,2023,Slovenia,11640,174680,Kg
Cambodia,Export,Rice,2023,Mozambique,11600,200000,Kg
Cambodia,Export,Rice,2023,Namibia,11438,150000,Kg
Cambodia,Export,Rice,2023,Belarus,11122,150000,Kg
Cambodia,Export,Rice,2023,Latvia,6650,100000,Kg
