Country,TradeFlow,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
Cambodia,Import,Rice,2023,World,727487,1716440000000,Kg
Cambodia,Import,Rice,2023,India,227256,725394000000,Kg
Cambodia,Import,Rice,2023,United States,212200,313694000000,Kg
Cambodia,Import,Rice,2023,Vietnam,206135,472354000000,Kg
Cambodia,Import,Rice,2023,Thailand,47947,131617000000,Kg
Cambodia,Import,Rice,2023,Japan,23856,562213,Kg
Cambodia,Import,Rice,2023,Cambodia,7023,124666,Kg
Cambodia,Import,Rice,2023,Italy,2125,405117,Kg
Cambodia,Import,Rice,2023,Spain,600,2000,Kg
Cambodia,Import,Rice,2023,"Korea, Rep.",246,3444,Kg
Cambodia,Import,Rice,2023,China,61,950,Kg
Cambodia,Import,Rice,2023,France,39,60,Kg
Cambodia,Import,Rice,2022, World,348268,786832000000,Kg
Cambodia,Import,Rice,2022,Vietnam,233878,555262000000,Kg
Cambodia,Import,Rice,2022,United States,77001,141395000000,Kg
Cambodia,Import,Rice,2022,Thailand,16634,515000,Kg
Cambodia,Import,Rice,2022,India,13278,363584,Kg
Cambodia,Import,Rice,2022,Japan,7076,171169,Kg
Cambodia,Import,Rice,2022,"Korea, Rep.",220,3100,Kg
Cambodia,Import,Rice,2022,Bangladesh,119,1750,Kg
Cambodia,Import,Rice,2022,Italy,63,1200,Kg
Cambodia,Import,Rice,2021, World,472747,1060000000000,Kg
Cambodia,Import,Rice,2021,Vietnam,308077,754000000000,Kg
Cambodia,Import,Rice,2021,United States,75667,124000000000,Kg
Cambodia,Import,Rice,2021,India,38509,987548,Kg
Cambodia,Import,Rice,2021,Thailand,22452,556492,Kg
Cambodia,Import,Rice,2021,Cambodia,20508,246400,Kg
Cambodia,Import,Rice,2021,Japan,6933,164037,Kg
Cambodia,Import,Rice,2021,Italy,371,1093,Kg
Cambodia,Import,Rice,2021,Indonesia,197,2000,Kg
Cambodia,Import,Rice,2021,Bangladesh,20,500,Kg
Cambodia,Import,Rice,2021,"Other Asia, nes",13,12916666666666668,Kg
Cambodia,Import,Rice,2020, World,711413,1760000000000,Kg
Cambodia,Import,Rice,2020,Vietnam,462734,1220000000000,Kg
Cambodia,Import,Rice,2020,Myanmar,80525,25000000,Kg
Cambodia,Import,Rice,2020,United States,53875,717951,Kg
Cambodia,Import,Rice,2020,Thailand,32017,754563,Kg
Cambodia,Import,Rice,2020,Ukraine,26466,540000,Kg
Cambodia,Import,Rice,2020,"Other Asia, nes",20000,400000,Kg
Cambodia,Import,Rice,2020,Japan,16149,165073,Kg
Cambodia,Import,Rice,2020,Unspecified,10795,137025,Kg
Cambodia,Import,Rice,2020,Lao PDR,5738,75000,Kg
Cambodia,Import,Rice,2020,India,3000,63620,Kg
Cambodia,Import,Rice,2020,China,85,950,Kg
Cambodia,Import,Rice,2020,Italy,26,184,Kg
Cambodia,Import,Rice,2020,Australia,2,10,Kg
Cambodia,Import,Rice,2019, World,926082,2330000000000,Kg
Cambodia,Import,Rice,2019,Vietnam,693937,1870000000000,Kg
Cambodia,Import,Rice,2019,United States,155135,278000000000,Kg
Cambodia,Import,Rice,2019,Thailand,29913,967000,Kg
Cambodia,Import,Rice,2019,"Other Asia, nes",25032,500000,Kg
