Country,Code,Year,Production (in Tonnes)
Afghanistan,AFG,2015,612000
Afghanistan,AFG,2016,532200
Afghanistan,AFG,2017,505100
Afghanistan,AFG,2018,525500
Afghanistan,AFG,2019,570900
Afghanistan,AFG,2020,655400
Afghanistan,AFG,2021,622300
Afghanistan,AFG,2022,592000
Afghanistan,AFG,2023,597000
Africa,NA,2015,32196904
Africa,NA,2016,34338700
Africa,NA,2017,32972514
Africa,NA,2018,34261310
Africa,NA,2019,36267456
Africa,NA,2020,37701364
Africa,NA,2021,39001410
Africa,NA,2022,40108156
Africa,NA,2023,42672870
Africa (FAO),NA,2015,32196904
Africa (FAO),NA,2016,34338700
Africa (FAO),NA,2017,32972514
Africa (FAO),NA,2018,34261310
Africa (FAO),NA,2019,36267456
Africa (FAO),NA,2020,37701364
Africa (FAO),NA,2021,39001410
Africa (FAO),NA,2022,40108156
Africa (FAO),NA,2023,42672870
Algeria,DZA,2015,280.6
Algeria,DZA,2016,306.87
Algeria,DZA,2017,316.14
Algeria,DZA,2018,301.2
Algeria,DZA,2019,308.07
Algeria,DZA,2020,308.47
Algeria,DZA,2021,305.92
Algeria,DZA,2022,307.49
Algeria,DZA,2023,307.29
Americas (FAO),NA,2015,36836950
Americas (FAO),NA,2016,36493224
Americas (FAO),NA,2017,36602612
Americas (FAO),NA,2018,38138696
Americas (FAO),NA,2019,34415716
Americas (FAO),NA,2020,38036504
Americas (FAO),NA,2021,37341040
Americas (FAO),NA,2022,34206690
Americas (FAO),NA,2023,36711596
Angola,AGO,2015,45322
Angola,AGO,2016,24576
Angola,AGO,2017,9426
Angola,AGO,2018,9699
Angola,AGO,2019,10102
Angola,AGO,2020,10567
Angola,AGO,2021,10514
Angola,AGO,2022,10563
Angola,AGO,2023,39830
Argentina,ARG,2015,1558100
Argentina,ARG,2016,1404980
Argentina,ARG,2017,1328340
Argentina,ARG,2018,1367968
Argentina,ARG,2019,1189866
Argentina,ARG,2020,1222910
Argentina,ARG,2021,1453187
Argentina,ARG,2022,1222426
Argentina,ARG,2023,1163209
Asia,NA,2015,660118460
Asia,NA,2016,662066940
Asia,NA,2017,674360960
Asia,NA,2018,686866200
Asia,NA,2019,680695200
Asia,NA,2020,695246850
Asia,NA,2021,710255400
Asia,NA,2022,710854800
Asia,NA,2023,716775800
Asia (FAO),NA,2015,660118460
Asia (FAO),NA,2016,662066940
Asia (FAO),NA,2017,674360960
Asia (FAO),NA,2018,686866200
Asia (FAO),NA,2019,680695200
Asia (FAO),NA,2020,695246800
Asia (FAO),NA,2021,710255360
Asia (FAO),NA,2022,710854800
Asia (FAO),NA,2023,716775800
Australia,AUS,2015,690390
Australia,AUS,2016,273942
Australia,AUS,2017,807304.44
Australia,AUS,2018,635113
Australia,AUS,2019,66835.34
Australia,AUS,2020,50226.33
Australia,AUS,2021,422977.53
Australia,AUS,2022,691444.5
Australia,AUS,2023,496633
Azerbaijan,AZE,2015,2834
Azerbaijan,AZE,2016,5406
Azerbaijan,AZE,2017,15915.7
Azerbaijan,AZE,2018,11974.6
Azerbaijan,AZE,2019,11070
Azerbaijan,AZE,2020,9397.3
Azerbaijan,AZE,2021,10062.3
