state,crop_type,planted_area,production,Year
Malaysia,cash_crops,20763.1,217847.5,2017
Malaysia,cash_crops,19028.2,215087.6,2018
Malaysia,cash_crops,17082,221310.2,2019
Malaysia,cash_crops,19090.9,223506.8,2020
Malaysia,cash_crops,20070.3,239011.9,2021
Malaysia,cash_crops,18329.1,215632.4,2022
Malaysia,coconut,83250.1,517588.5,2017
Malaysia,coconut,83436.4,491465.4,2018
Malaysia,coconut,86466.3,536605.7,2019
Malaysia,coconut,84942,560984.3,2020
Malaysia,coconut,81469.6,557353.7,2021
Malaysia,coconut,84935.9,604428.4,2022
Malaysia,flower,2605.1,509085932,2017
Malaysia,flower,2652,518249478,2018
Malaysia,flower,2702.3,528096218,2019
Malaysia,flower,2626.7,402409318,2020
Malaysia,flower,2554.4,348326666,2021
Malaysia,flower,2588.4,355423782.2,2022
Malaysia,fruits,208590.1,1492600.9,2017
Malaysia,fruits,195480.6,1543086,2018
Malaysia,fruits,184549.5,1560906,2019
Malaysia,fruits,191865.9,1549790.6,2020
Malaysia,fruits,199419.8,1686875.5,2021
Malaysia,fruits,203431.3,1827992.3,2022
Malaysia,herbs,2424.2,11741.9,2017
Malaysia,herbs,3010.5,12389.4,2018
Malaysia,herbs,2315.7,9018.6,2019
Malaysia,herbs,2079.6,9077.1,2020
Malaysia,herbs,2017.7,9339.8,2021
Malaysia,herbs,2108,9951.2,2022
Malaysia,industrial_crops,133928.5,758335,2017
Malaysia,industrial_crops,132761.2,589940.1,2018
Malaysia,industrial_crops,138490,755630,2019
Malaysia,industrial_crops,159486,716977.6,2020
Malaysia,industrial_crops,156385,713949.5,2021
Malaysia,industrial_crops,127771.6,741168.3,2022
Malaysia,paddy,685548,2570513,2017
Malaysia,paddy,699980,2639202,2018
Malaysia,paddy,672084,2352870,2019
Malaysia,paddy,644908.2,2356391.9,2020
Malaysia,paddy,647936,2441597,2021
Malaysia,paddy,637935,2281739,2022
Malaysia,spices,7467.3,60457.8,2017
Malaysia,spices,6552.6,55195.1,2018
Malaysia,spices,5815.6,51336.7,2019
Malaysia,spices,5958.6,52541.3,2020
Malaysia,spices,5978.1,54037.9,2021
Malaysia,spices,5913.8,53727.4,2022
Malaysia,vegetables,62538.5,1003536.5,2017
Malaysia,vegetables,58817.7,997745.4,2018
Malaysia,vegetables,62025.9,1020713.7,2019
Malaysia,vegetables,61613.6,1030064.1,2020
Malaysia,vegetables,65911,1088038.6,2021
Malaysia,vegetables,68111.6,1163793.3,2022
Johor,cash_crops,3780.3,42424.1,2017
Johor,cash_crops,3483.7,43420.4,2018
Johor,cash_crops,3007.5,38566.7,2019
Johor,cash_crops,3056.2,42963,2020
Johor,cash_crops,3522.4,47538.7,2021
Johor,cash_crops,3397.3,46960,2022
Johor,coconut,14931.6,107731,2017
Johor,coconut,12949.7,95495.7,2018
Johor,coconut,10762.9,99375.1,2019
Johor,coconut,11887,106723.2,2020
Johor,coconut,12380.5,118278.2,2021
Johor,coconut,13269.8,124062.2,2022
Johor,flower,1455.2,245074825,2017
Johor,flower,1481.4,249486172,2018
Johor,flower,1509.6,254226409,2019
Johor,flower,1467.3,193720524,2020
Johor,flower,1442.4,164836794,2021
Johor,flower,1461.1,168133530,2022
Johor,fruits,59264.8,603693,2017
Johor,fruits,46698.3,567300.8,2018
Johor,fruits,41504.2,543387.3,2019
Johor,fruits,44779,557842.7,2020
Johor,fruits,50231.6,631711.1,2021
Johor,fruits,50217,772317.4,2022
Johor,herbs,394.8,2316.5,2017
Johor,herbs,453.4,3060.2,2018
Johor,herbs,189.7,1936.3,2019
Johor,herbs,179,2586.1,2020
Johor,herbs,266.8,2642.8,2021
Johor,herbs,256.2,2722.4,2022
Johor,industrial_crops,16161,117769.7,2017
Johor,industrial_crops,13625.3,98700,2018
Johor,industrial_crops,11369.7,102455,2019
Johor,industrial_crops,12463.1,110575.5,2020
Johor,industrial_crops,12975.7,123560.5,2021
Johor,industrial_crops,13820.5,128173.1,2022
Johor,paddy,3000,8563,2017
Johor,paddy,2866,9424,2018
Johor,paddy,2555,7704,2019
Johor,paddy,2547,7502,2020
Johor,paddy,2505,9031,2021
Johor,paddy,2776,10832,2022
Johor,spices,1507.6,14532.3,2017
Johor,spices,999,11548.8,2018
Johor,spices,962,13679.7,2019
Johor,spices,1211.6,15368.5,2020
Johor,spices,1645.5,18401.5,2021
Johor,spices,1568,17925.1,2022
Johor,vegetables,16117.2,203846,2017
Johor,vegetables,14502.9,198459.8,2018
Johor,vegetables,15359.3,203996.5,2019
Johor,vegetables,14843.7,208260.3,2020
Johor,vegetables,17186.9,242213.7,2021
Johor,vegetables,17188.3,245330.4,2022
Kedah,cash_crops,760.4,5439.2,2017
Kedah,cash_crops,662.3,5429.3,2018
Kedah,cash_crops,611.8,5341,2019
Kedah,cash_crops,579.5,3318.3,2020
Kedah,cash_crops,517.1,4093.7,2021
Kedah,cash_crops,496.2,4462.4,2022
Kedah,coconut,1289.4,5754.5,2017
Kedah,coconut,897,6558.9,2018
Kedah,coconut,995.7,5131.3,2019
Kedah,coconut,2155.1,10046.3,2020
Kedah,coconut,1854.4,10185.3,2021
Kedah,coconut,1773.7,31787.5,2022
Kedah,flower,33.9,746350,2017
Kedah,flower,34.5,759785,2018
Kedah,flower,35.2,774221,2019
Kedah,flower,34.2,589956,2020
Kedah,flower,40.9,724037,2021
Kedah,flower,40.5,718245,2022
