Entity,Code,Year,Rice | 00000027 || Yield | 005412 || tonnes per hectare
Afghanistan,AFG,2015,3.7317002
Afghanistan,AFG,2016,4.4723
Afghanistan,AFG,2017,4.6148
Afghanistan,AFG,2018,4.4709
Afghanistan,AFG,2019,4.4766
Afghanistan,AFG,2020,4.4417005
Afghanistan,AFG,2021,4.4065003
Afghanistan,AFG,2022,4.625
Afghanistan,AFG,2023,4.6279
Africa,NA,2015,2.29609
Africa,NA,2016,2.3032103
Africa,NA,2017,2.2409763
Africa,NA,2018,2.187442
Africa,NA,2019,2.3343387
Africa,NA,2020,2.404762
Africa,NA,2021,2.3601165
Africa,NA,2022,2.3277767
Africa,NA,2023,2.313313
Africa (FAO),NA,2015,2.2961001
Africa (FAO),NA,2016,2.3032
Africa (FAO),NA,2017,2.2410002
Africa (FAO),NA,2018,2.1874
Africa (FAO),NA,2019,2.3343
Africa (FAO),NA,2020,2.4048002
Africa (FAO),NA,2021,2.3601003
Africa (FAO),NA,2022,2.3278003
Africa (FAO),NA,2023,2.3133001
Algeria,DZA,2015,1.7939001
Algeria,DZA,2016,1.7827001
Algeria,DZA,2017,1.7939001
Algeria,DZA,2018,1.7901001
Algeria,DZA,2019,1.7889001
Algeria,DZA,2020,1.7910001
Algeria,DZA,2021,1.7900001
Algeria,DZA,2022,1.7899001
Algeria,DZA,2023,1.7903001
Americas (FAO),NA,2015,5.951
Americas (FAO),NA,2016,5.821
Americas (FAO),NA,2017,5.959
Americas (FAO),NA,2018,6.1237006
Americas (FAO),NA,2019,6.0426
Americas (FAO),NA,2020,6.3323
Americas (FAO),NA,2021,6.4185004
Americas (FAO),NA,2022,6.1097007
Americas (FAO),NA,2023,6.3972006
Angola,AGO,2015,1.5068002
Angola,AGO,2016,1.5295001
Angola,AGO,2017,0.86380005
Angola,AGO,2018,1.1523001
Angola,AGO,2019,1.1931
Angola,AGO,2020,1.2375001
Angola,AGO,2021,1.2266
Angola,AGO,2022,1.2323002
Angola,AGO,2023,1.1721001
Argentina,ARG,2015,6.6989
Argentina,ARG,2016,6.7632003
Argentina,ARG,2017,6.5083003
Argentina,ARG,2018,6.9030004
Argentina,ARG,2019,6.4919004
Argentina,ARG,2020,6.5996003
Argentina,ARG,2021,7.2662005
Argentina,ARG,2022,6.5697007
Argentina,ARG,2023,6.7237005
Asia,NA,2015,4.707754
Asia,NA,2016,4.7135396
Asia,NA,2017,4.7753677
Asia,NA,2018,4.8484774
Asia,NA,2019,4.891713
Asia,NA,2020,4.868568
Asia,NA,2021,4.9345517
Asia,NA,2022,4.9334383
Asia,NA,2023,4.992329
Asia (FAO),NA,2015,4.7078
Asia (FAO),NA,2016,4.7135
Asia (FAO),NA,2017,4.7754
Asia (FAO),NA,2018,4.8485003
Asia (FAO),NA,2019,4.8917003
Asia (FAO),NA,2020,4.8686004
Asia (FAO),NA,2021,4.9346004
Asia (FAO),NA,2022,4.9334
Asia (FAO),NA,2023,4.9923
Australia,AUS,2015,9.9103
Australia,AUS,2016,10.288901
Australia,AUS,2017,9.8208
Australia,AUS,2018,10.386001
Australia,AUS,2019,8.771001
Australia,AUS,2020,10.0308
Australia,AUS,2021,9.382
Australia,AUS,2022,11.054501
Australia,AUS,2023,9.516201
Azerbaijan,AZE,2015,2.3696003
Azerbaijan,AZE,2016,2.1538002
Azerbaijan,AZE,2017,3.1189
Azerbaijan,AZE,2018,2.9684
Azerbaijan,AZE,2019,2.7613
Azerbaijan,AZE,2020,3.1314
Azerbaijan,AZE,2021,3.2960002
Azerbaijan,AZE,2022,3.4242
Azerbaijan,AZE,2023,4.6515
Bangladesh,BGD,2015,4.5518003
Bangladesh,BGD,2016,4.5863
Bangladesh,BGD,2017,4.6619
Bangladesh,BGD,2018,4.7257004
Bangladesh,BGD,2019,4.7402005
Bangladesh,BGD,2020,4.8088
Bangladesh,BGD,2021,4.8187003
Bangladesh,BGD,2022,4.8912005
Bangladesh,BGD,2023,5.0348
Belize,BLZ,2015,4.2422004
Belize,BLZ,2016,4.7752004
Belize,BLZ,2017,4.7208
Belize,BLZ,2018,4.9209003
Belize,BLZ,2019,5.7509003
Belize,BLZ,2020,4.5252004
Belize,BLZ,2021,5.6694
Belize,BLZ,2022,5.287
Belize,BLZ,2023,5.6034
Benin,BEN,2015,3.1285002
Benin,BEN,2016,3.4174001
Benin,BEN,2017,3.5295002
Benin,BEN,2018,3.3977
Benin,BEN,2019,3.9651003
Benin,BEN,2020,3.9353004
Benin,BEN,2021,4.1000004
Benin,BEN,2022,3.8936002
Benin,BEN,2023,3.7307
Bhutan,BTN,2015,4.0192003
Bhutan,BTN,2016,3.8796003
Bhutan,BTN,2017,4.0745
Bhutan,BTN,2018,4.2362003
Bhutan,BTN,2019,4.0698004
Bhutan,BTN,2020,4.2644
Bhutan,BTN,2021,4.1593
Bhutan,BTN,2022,4.4701004
Bhutan,BTN,2023,4.3293
Bolivia,BOL,2015,3.1699
Bolivia,BOL,2016,2.4829
Bolivia,BOL,2017,2.7692
Bolivia,BOL,2018,3.1875002
Bolivia,BOL,2019,3.2040002
Bolivia,BOL,2020,2.7614
Bolivia,BOL,2021,3.078
Bolivia,BOL,2022,2.9952002
Bolivia,BOL,2023,3.3547
Brazil,BRA,2015,5.7525
Brazil,BRA,2016,5.4643
Brazil,BRA,2017,6.2131004
Brazil,BRA,2018,6.3074
Brazil,BRA,2019,6.0633
Brazil,BRA,2020,6.6108003
Brazil,BRA,2021,6.9031005
Brazil,BRA,2022,6.6380005
Brazil,BRA,2023,6.9369
Brunei,BRN,2015,2.3846002
Brunei,BRN,2016,1.7143002
Brunei,BRN,2017,1.7692001
Brunei,BRN,2018,2
Brunei,BRN,2019,2.0909
Brunei,BRN,2020,3.0000002
Brunei,BRN,2021,2.7333002
Brunei,BRN,2022,2.4
Brunei,BRN,2023,2.4667
Bulgaria,BGR,2015,5.4540005
Bulgaria,BGR,2016,5.4032006
Bulgaria,BGR,2017,5.6089
Bulgaria,BGR,2018,5.5200005
Bulgaria,BGR,2019,6.0000005
Bulgaria,BGR,2020,5.3287005
Bulgaria,BGR,2021,4.8232
Bulgaria,BGR,2022,6.0794
Bulgaria,BGR,2023,5.7286005
Burkina Faso,BFA,2015,2.2782001
Burkina Faso,BFA,2016,2.2608001
Burkina Faso,BFA,2017,1.9721
Burkina Faso,BFA,2018,2.177
Burkina Faso,BFA,2019,2.1242
Burkina Faso,BFA,2020,2.2377
Burkina Faso,BFA,2021,2.0403001
Burkina Faso,BFA,2022,2.2118
Burkina Faso,BFA,2023,2.3753002
Burundi,BDI,2015,1.1293001
Burundi,BDI,2016,2.3001
Burundi,BDI,2017,1.7838001000000001
Burundi,BDI,2018,1.7926
Burundi,BDI,2019,1.6896001
Burundi,BDI,2020,1.9588002
Burundi,BDI,2021,1.9588002
Burundi,BDI,2022,1.9588002
Burundi,BDI,2023,1.9588002
Cambodia,KHM,2015,3.0849001
Cambodia,KHM,2016,3.2103002
Cambodia,KHM,2017,3.2972002
Cambodia,KHM,2018,3.3534
Cambodia,KHM,2019,3.3351002
Cambodia,KHM,2020,3.3454
Cambodia,KHM,2021,3.4897
Cambodia,KHM,2022,3.5192
Cambodia,KHM,2023,3.5829
Cameroon,CMR,2015,1.2271
Cameroon,CMR,2016,2.1100001
Cameroon,CMR,2017,2.1100001
Cameroon,CMR,2018,2.6406002
Cameroon,CMR,2019,2.1407
Cameroon,CMR,2020,2.1312
Cameroon,CMR,2021,2.0517
Cameroon,CMR,2022,2.1647
Cameroon,CMR,2023,2.2895
Caribbean (FAO),NA,2015,4.2732005
Caribbean (FAO),NA,2016,4.2125
Caribbean (FAO),NA,2017,4.2639003
Caribbean (FAO),NA,2018,3.3468
Caribbean (FAO),NA,2019,4.211
Caribbean (FAO),NA,2020,4.2777004
Caribbean (FAO),NA,2021,4.3549
Caribbean (FAO),NA,2022,4.2967005
Caribbean (FAO),NA,2023,4.261
Central African Republic,CAF,2015,1.4001
Central African Republic,CAF,2016,1.4001
Central African Republic,CAF,2017,1.3999001
Central African Republic,CAF,2018,1.4001
Central African Republic,CAF,2019,1.4000001
Central African Republic,CAF,2020,0.90000004
Central African Republic,CAF,2021,1.1
Central African Republic,CAF,2022,1.4000001
Central African Republic,CAF,2023,1.4000001
Central America (FAO),NA,2015,4.4777
Central America (FAO),NA,2016,4.7053
Central America (FAO),NA,2017,4.7102003
Central America (FAO),NA,2018,4.9223
Central America (FAO),NA,2019,5.0112004
Central America (FAO),NA,2020,4.9106
Central America (FAO),NA,2021,5.1312003
Central America (FAO),NA,2022,5.1828
Central America (FAO),NA,2023,5.1754003
Central Asia (FAO),NA,2015,4.9177003
Central Asia (FAO),NA,2016,5.3346004
Central Asia (FAO),NA,2017,5.0400004
Central Asia (FAO),NA,2018,4.9148
Central Asia (FAO),NA,2019,5.2341003
Central Asia (FAO),NA,2020,5.5406003
Central Asia (FAO),NA,2021,5.8419003
Central Asia (FAO),NA,2022,5.9285
Central Asia (FAO),NA,2023,5.9215
Chad,TCD,2015,1.4155
Chad,TCD,2016,1.4128001
Chad,TCD,2017,1.3797001
Chad,TCD,2018,1.3967
Chad,TCD,2019,1.5108001
Chad,TCD,2020,1.4698001
Chad,TCD,2021,1.3181001
Chad,TCD,2022,1.3097
Chad,TCD,2023,1.2762
